TransactionID,CustomerID,MerchantID,Amount,TransactionDate,Channel,Country,Status
1,1102,257,2185.76,2023-01-01 00:00:00,Online,Germany,Failed
2,1435,222,16832.18,2023-01-01 01:00:00,POS,Germany,Success
3,1860,253,3413.84,2023-01-01 02:00:00,ATM,India,Success
4,1270,279,641.88,2023-01-01 03:00:00,Online,India,Success
5,1106,264,3118.03,2023-01-01 04:00:00,POS,UK,Success
6,1071,211,6020.0,2023-01-01 05:00:00,Online,UK,Success
7,1700,223,30104.71,2023-01-01 06:00:00,Online,Germany,Success
8,1020,233,2007.11,2023-01-01 07:00:00,ATM,USA,Success
9,1614,252,3658.63,2023-01-01 08:00:00,POS,India,Success
10,1121,207,10638.03,2023-01-01 09:00:00,Online,India,Success
11,1466,217,2244.6,2023-01-01 10:00:00,POS,India,Success
12,1214,256,628.52,2023-01-01 11:00:00,POS,Canada,Success
13,1330,204,14923.37,2023-01-01 12:00:00,Online,Germany,Success
14,1458,225,3401.46,2023-01-01 13:00:00,ATM,India,Success
15,1087,229,3543.65,2023-01-01 14:00:00,Online,USA,Success
16,1372,253,4903.74,2023-01-01 15:00:00,ATM,USA,Success
17,1099,212,67.71,2023-01-01 16:00:00,Online,India,Success
18,1871,282,13427.76,2023-01-01 17:00:00,Online,Canada,Success
19,1663,228,2292.78,2023-01-01 18:00:00,Online,USA,Success
20,1130,202,2578.63,2023-01-01 19:00:00,Online,India,Success
21,1661,289,1006.46,2023-01-01 20:00:00,ATM,India,Chargeback
22,1308,257,2425.29,2023-01-01 21:00:00,Online,India,Success
23,1769,275,8196.76,2023-01-01 22:00:00,Online,India,Success
24,1343,201,8096.98,2023-01-01 23:00:00,Mobile,India,Success
25,1491,274,13778.51,2023-01-02 00:00:00,POS,India,Success
26,1413,227,2631.11,2023-01-02 01:00:00,Online,USA,Success
27,1805,281,6217.38,2023-01-02 02:00:00,Mobile,USA,Success
28,1385,276,3588.64,2023-01-02 03:00:00,Online,USA,Success
29,1191,285,8198.78,2023-01-02 04:00:00,ATM,UK,Success
30,1955,275,6283.39,2023-01-02 05:00:00,Online,Germany,Success
31,1276,201,2343.56,2023-01-02 06:00:00,POS,Canada,Success
32,1160,206,2102.44,2023-01-02 07:00:00,POS,India,Success
33,1459,225,1504.72,2023-01-02 08:00:00,Online,India,Success
34,1313,289,4346.2,2023-01-02 09:00:00,POS,India,Success
35,1021,287,16649.4,2023-01-02 10:00:00,POS,USA,Chargeback
36,1252,275,1166.13,2023-01-02 11:00:00,ATM,Canada,Success
37,1747,215,550.5,2023-01-02 12:00:00,ATM,UK,Success
38,1856,222,685.76,2023-01-02 13:00:00,POS,USA,Success
39,1560,239,7691.56,2023-01-02 14:00:00,POS,USA,Success
40,1474,259,2204.72,2023-01-02 15:00:00,POS,USA,Success
41,1058,272,1320.38,2023-01-02 16:00:00,ATM,Germany,Success
42,1510,231,2225.84,2023-01-02 17:00:00,Online,Canada,Fraud
43,1681,214,5232.85,2023-01-02 18:00:00,POS,UK,Success
44,1475,212,4006.97,2023-01-02 19:00:00,POS,USA,Success
45,1699,204,6854.88,2023-01-02 20:00:00,Mobile,India,Success
46,1975,274,2120.57,2023-01-02 21:00:00,POS,India,Fraud
